,series_name,metric,geo,genre_id,genre_name,value
146,q50,arpdau,CN,1148,racing_store,0.011549034988955247
147,q50,arpdau,CN,1149,role_playing_store,0.18536553265826414
148,q50,arpdau,CN,1150,simulation_store,0.08875302301463686
149,q50,arpdau,CN,1151,sports_store,0.08922655641098644
150,q50,arpdau,CN,1152,strategy_store,0.11877885000438777
151,q50,arpdau,CN,1153,trivia_store,0.00338682430447
152,q50,arpdau,CN,1154,word_store,0.05036843608831927
153,q50,arpdau,CN,1155,arcade_store,0.0047591323253876605
154,q50,arpdau,CN,1156,multiplayer_store,0.7618345936584581
155,q50,arpdau,CN,2201,platformer_sub_arcade,0.005270952867357558
156,q50,arpdau,CN,2202,idler_sub_arcade,0.26986702588490274
157,q50,arpdau,CN,2203,shoot_em_up_sub_arcade,0.39463609488060025
158,q50,arpdau,CN,2204,other_arcade_sub_arcade,0.07175712981016175
159,q50,arpdau,CN,2205,tower_defense_sub_arcade,0.1756365898408967
160,q50,arpdau,CN,2401,action_sub_puzzle,0.086234953720122
161,q50,arpdau,CN,2402,match3_sub_puzzle,0.01317392485632502
162,q50,arpdau,CN,2403,other_sub_puzzle,0.0009977388945112502
163,q50,arpdau,CN,2404,word_games_sub_puzzle,0.0572163023365035
164,q50,arpdau,CN,2406,coloring_games_sub_puzzle,0.016028028274713335
165,q50,arpdau,CN,2501,adventures_sub_simulation,0.5118685524545853
166,q50,arpdau,CN,2503,tycoon_crafting_sub_simulation,0.22809480776540011
167,q50,arpdau,CN,3103,snipers_sub_shooter,0.5056080445647235
168,q50,arpdau,CN,3105,other_shooter_sub_shooter,0.09091963618993701
169,q50,arpdau,CN,3203,fighting_sub_rpg,0.03367798004899992
170,q50,arpdau,CN,3204,mmorpg_sub_rpg,0.203527342428712
171,q50,arpdau,CN,3405,other_strategy_sub_strategy,0.6277504100347969
172,q50,arpdau,CN,3601,arcade_sports_sub_sports,0.009806123943570002
173,q50,arpdau,CN,3603,other_sports_sub_sports,0.18719509243965102
174,q50,arpdau,CN,3701,arcade_racing_sub_racing,0.0010693262374838978
175,q50,arpdau,DE,1001,other_sub_hypercasual,0.035811015035494796
176,q50,arpdau,DE,1002,puzzle_sub_hypercasual,0.024838611738876495
177,q50,arpdau,DE,1003,idle_sub_hypercasual,0.07734915734187513
178,q50,arpdau,DE,1004,io_sub_hypercasual,0.002220184217499
179,q50,arpdau,DE,1137,action_store,0.02792205915184634
180,q50,arpdau,DE,1138,adventure_store,0.008958297922390114
181,q50,arpdau,DE,1139,casual_store,0.02327342867493068
182,q50,arpdau,DE,1140,board_store,0.03044496083996891
183,q50,arpdau,DE,1141,card_store,0.11951025838110971
184,q50,arpdau,DE,1142,casino_store,0.07441398954689987
185,q50,arpdau,DE,1147,puzzle_store,0.02552983607822327
186,q50,arpdau,DE,1148,racing_store,0.005121755302085717
187,q50,arpdau,DE,1149,role_playing_store,0.04339009241158254
188,q50,arpdau,DE,1150,simulation_store,0.036509069647415265
189,q50,arpdau,DE,1151,sports_store,0.05598296060085397
190,q50,arpdau,DE,1152,strategy_store,0.08287948707766232
191,q50,arpdau,DE,1153,trivia_store,0.013719782934909322
192,q50,arpdau,DE,1154,word_store,0.012402644709525285
193,q50,arpdau,DE,1155,arcade_store,0.009342669622732794
194,q50,arpdau,DE,1156,multiplayer_store,0.004050580682288944
195,q50,arpdau,DE,2201,platformer_sub_arcade,0.007783720254527642
196,q50,arpdau,DE,2202,idler_sub_arcade,0.03430746916772685
197,q50,arpdau,DE,2203,shoot_em_up_sub_arcade,0.017402492581465447
198,q50,arpdau,DE,2204,other_arcade_sub_arcade,0.0690761084147341
199,q50,arpdau,DE,2205,tower_defense_sub_arcade,0.1148367256625666
200,q50,arpdau,DE,2206,board_games_sub_arcade,0.06401893482480725
201,q50,arpdau,DE,2303,music_band_sub_lifestyle,0.0014406010778915661
202,q50,arpdau,DE,2401,action_sub_puzzle,0.0007133819287571429
203,q50,arpdau,DE,2402,match3_sub_puzzle,0.03140930323790363
204,q50,arpdau,DE,2403,other_sub_puzzle,0.025137397134550585
205,q50,arpdau,DE,2404,word_games_sub_puzzle,0.01297046840841419
206,q50,arpdau,DE,2405,trivia_games_sub_puzzle,0.015012181165217096
207,q50,arpdau,DE,2406,coloring_games_sub_puzzle,0.006438127318922548
208,q50,arpdau,DE,2407,hidden_objects_sub_puzzle,0.06459599278185377
209,q50,arpdau,DE,2501,adventures_sub_simulation,0.12333464384052155
210,q50,arpdau,DE,2503,tycoon_crafting_sub_simulation,0.14170732677237216
211,q50,arpdau,DE,2507,animal_pet_sub_simulation,0.00950386801969597
212,q50,arpdau,DE,3103,snipers_sub_shooter,0.041869260422578984
213,q50,arpdau,DE,3105,other_shooter_sub_shooter,0.1422835330096335
214,q50,arpdau,DE,3203,fighting_sub_rpg,0.02902670920820593
215,q50,arpdau,DE,3204,mmorpg_sub_rpg,0.2686006680212958
216,q50,arpdau,DE,3207,survival_sub_rpg,0.0013773590345360002
217,q50,arpdau,DE,3301,card_battlers_sub_card,0.214812324393577
218,q50,arpdau,DE,3405,other_strategy_sub_strategy,0.5875743252937305
219,q50,arpdau,DE,3601,arcade_sports_sub_sports,0.02048132225839868
220,q50,arpdau,DE,3603,other_sports_sub_sports,0.3019809206932619
221,q50,arpdau,DE,3701,arcade_racing_sub_racing,0.0790839575821539
222,q50,arpdau,ES,1001,other_sub_hypercasual,0.016293941576348
