,series_name,metric,geo,day,genre_id,genre_name,value
103,q50,retention_d1,CA,1,1142,casino_store,25.328113207547172
104,q50,retention_d1,CA,1,1147,puzzle_store,25.61679245283019
105,q50,retention_d1,CA,1,1148,racing_store,23.918490566037736
106,q50,retention_d1,CA,1,1149,role_playing_store,18.712830188679245
107,q50,retention_d1,CA,1,1150,simulation_store,24.643584905660376
108,q50,retention_d1,CA,1,1151,sports_store,27.247358490566036
109,q50,retention_d1,CA,1,1152,strategy_store,28.688301886792452
110,q50,retention_d1,CA,1,1153,trivia_store,25.840188679245284
111,q50,retention_d1,CA,1,1154,word_store,28.672264150943395
112,q50,retention_d1,CA,1,1155,arcade_store,27.526415094339626
113,q50,retention_d1,CA,1,1156,multiplayer_store,14.275849056603773
114,q50,retention_d1,CA,1,2201,platformer_sub_arcade,21.27320754716981
115,q50,retention_d1,CA,1,2202,idler_sub_arcade,39.23207547169812
116,q50,retention_d1,CA,1,2203,shoot_em_up_sub_arcade,10.334716981132075
117,q50,retention_d1,CA,1,2204,other_arcade_sub_arcade,22.368113207547168
118,q50,retention_d1,CA,1,2205,tower_defense_sub_arcade,37.071132075471695
119,q50,retention_d1,CA,1,2206,board_games_sub_arcade,23.566603773584905
120,q50,retention_d1,CA,1,2303,music_band_sub_lifestyle,26.892264150943397
121,q50,retention_d1,CA,1,2401,action_sub_puzzle,21.572452830188677
122,q50,retention_d1,CA,1,2402,match3_sub_puzzle,28.796981132075473
123,q50,retention_d1,CA,1,2403,other_sub_puzzle,15.373962264150943
124,q50,retention_d1,CA,1,2404,word_games_sub_puzzle,31.42056603773585
125,q50,retention_d1,CA,1,2405,trivia_games_sub_puzzle,24.186981132075474
126,q50,retention_d1,CA,1,2406,coloring_games_sub_puzzle,26.57188679245283
127,q50,retention_d1,CA,1,2407,hidden_objects_sub_puzzle,44.60169811320755
128,q50,retention_d1,CA,1,2501,adventures_sub_simulation,30.863396226415095
129,q50,retention_d1,CA,1,2503,tycoon_crafting_sub_simulation,35.60245283018868
130,q50,retention_d1,CA,1,2507,animal_pet_sub_simulation,34.709245283018866
131,q50,retention_d1,CA,1,3103,snipers_sub_shooter,19.444499999999998
132,q50,retention_d1,CA,1,3105,other_shooter_sub_shooter,21.41320754716981
133,q50,retention_d1,CA,1,3203,fighting_sub_rpg,21.32622641509434
